timestamp,transaction_id,employee_id,vendor_id,merchant_category,mcc_code,amount,employee_approval_limit,dest_bank_account_hash,device_ip,is_fraud,fraud_type,is_bank_collision,amount_to_limit_ratio,is_near_approval_threshold,is_off_hours,emp_txn_count_1h,emp_spent_24h
2026-01-01 08:14:00,TXN_108087,EMP_5068,VEND_1050,TRAVEL_FLIGHTS,4511,1972.21,5000,BANK_HASH_fb706cb9,130.119.21.241,0,LEGITIMATE,1,0.394442,0,0,1.0,1972.21
2026-01-01 08:40:00,TXN_104526,EMP_5113,VEND_1099,OFFICE_SUPPLIES,5111,2088.6,5000,BANK_HASH_97fc06e4,147.121.170.221,0,LEGITIMATE,1,0.41772,0,0,1.0,2088.6
2026-01-01 09:01:00,TXN_103841,EMP_5053,VEND_1097,IT_HARDWARE,5732,59.81,25000,BANK_HASH_099bcee7,95.213.59.174,0,LEGITIMATE,1,0.0023924000000000003,0,0,1.0,59.81
2026-01-01 09:05:00,TXN_103333,EMP_5156,VEND_1041,TRAVEL_FLIGHTS,4511,335.32,10000,BANK_HASH_4bf3c92f,210.63.221.254,0,LEGITIMATE,1,0.033532,0,0,1.0,335.32
2026-01-01 09:14:00,TXN_107995,EMP_5123,VEND_1022,TRAVEL_FLIGHTS,4511,488.57,5000,BANK_HASH_6bfb8537,176.17.96.148,0,LEGITIMATE,1,0.097714,0,0,1.0,488.57
2026-01-01 09:17:00,TXN_108849,EMP_5019,VEND_1063,OFFICE_SUPPLIES,5111,78.88,5000,BANK_HASH_8d87d56f,199.188.150.129,0,LEGITIMATE,1,0.015776,0,0,1.0,78.88
2026-01-01 09:41:00,TXN_104580,EMP_5021,VEND_1077,OFFICE_SUPPLIES,5111,4099.56,25000,BANK_HASH_98ccc9d3,223.149.131.120,0,LEGITIMATE,1,0.16398240000000003,0,0,1.0,4099.56
2026-01-01 09:43:00,TXN_105611,EMP_5023,VEND_1004,CONSULTING_SERVICES,7392,1676.48,5000,BANK_HASH_13493200,92.203.59.28,0,LEGITIMATE,1,0.335296,0,0,1.0,1676.48
2026-01-01 09:48:00,TXN_104929,EMP_5140,VEND_1066,IT_HARDWARE,5732,3783.82,10000,BANK_HASH_53f0c83d,128.132.38.39,0,LEGITIMATE,1,0.378382,0,0,1.0,3783.82
2026-01-01 09:59:00,TXN_101409,EMP_5158,VEND_1037,IT_HARDWARE,5732,3050.52,5000,BANK_HASH_742facd6,110.50.206.44,0,LEGITIMATE,1,0.610104,0,0,1.0,3050.52
2026-01-01 10:00:00,TXN_106400,EMP_5005,VEND_1037,LUXURY_RETAIL,5944,1739.01,5000,BANK_HASH_742facd6,81.213.117.93,0,LEGITIMATE,1,0.347802,0,0,1.0,1739.01
2026-01-01 10:04:00,TXN_108860,EMP_5022,VEND_1089,OFFICE_SUPPLIES,5111,1067.05,25000,BANK_HASH_4cceb021,28.233.143.229,0,LEGITIMATE,1,0.042682,0,0,1.0,1067.05
2026-01-01 10:10:00,TXN_109716,EMP_5014,VEND_1026,OFFICE_SUPPLIES,5111,373.27,25000,BANK_HASH_7bd4d1ed,63.66.246.199,0,LEGITIMATE,1,0.0149308,0,0,1.0,373.27
